nt_x   nt_y   nt_z   A_t
-0.35523 -0.237148 0.904197 3.59421e+11
-0.317998 -0.212271 0.924023 3.16434e+11
-0.325398 -0.08719 0.941549 3.6206e+11
-0.356976 -0.0711992 0.931396 3.32237e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.35523 -0.237148 0.904197 3.59421e+11
-0.339176 -0.337731 0.878008 3.15762e+11
-0.236692 -0.354115 0.904754 3.59471e+11
-0.212345 -0.317677 0.924116 3.16441e+11
-0.231222 -0.231222 0.945025 3.72746e+11
-0.317998 -0.212271 0.924023 3.16434e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.236692 -0.354115 0.904754 3.59471e+11
-0.214373 -0.42201 0.880881 3.19285e+11
-0.0850686 -0.429243 0.899174 3.50473e+11
-0.0707706 -0.357362 0.931281 3.32233e+11
-0.087116 -0.325086 0.941663 3.62069e+11
-0.212345 -0.317677 0.924116 3.16441e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0850686 -0.429243 0.899174 3.50473e+11
-0.0712867 -0.45295 0.888681 3.29808e+11
0.0716049 -0.45294 0.888661 3.29799e+11
0.0853596 -0.429278 0.89913 3.50449e+11
0.0710533 -0.357355 0.931262 3.32225e+11
-0.0707706 -0.357362 0.931281 3.32233e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0853596 -0.429278 0.89913 3.50449e+11
0.215161 -0.421986 0.880701 3.19234e+11
0.236244 -0.357996 0.903343 3.59506e+11
0.209689 -0.318256 0.924524 3.16499e+11
0.0872128 -0.325448 0.941529 3.62058e+11
0.0710533 -0.357355 0.931262 3.32225e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.236244 -0.357996 0.903343 3.59506e+11
0.341192 -0.341192 0.875886 3.15825e+11
0.35801 -0.236139 0.903364 3.59503e+11
0.320603 -0.211143 0.923381 3.16568e+11
0.228712 -0.231217 0.945637 3.72914e+11
0.209689 -0.318256 0.924524 3.16499e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.35801 -0.236139 0.903364 3.59503e+11
0.422042 -0.215041 0.880703 3.19226e+11
0.429323 -0.0853788 0.899106 3.50437e+11
0.357461 -0.0710846 0.931219 3.32218e+11
0.327953 -0.0860421 0.940768 3.62138e+11
0.320603 -0.211143 0.923381 3.16568e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.525512 -0.0832329 0.846705 3.40916e+11
0.543244 -0.0715195 0.836523 3.24712e+11
0.543245 0.0715108 0.836523 3.24712e+11
0.525533 0.0832109 0.846694 3.40918e+11
0.452822 0.0716947 0.888714 3.29794e+11
0.452821 -0.0717199 0.888712 3.29793e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.525533 0.0832109 0.846694 3.40918e+11
0.517591 0.214203 0.828382 3.17609e+11
0.46519 0.236844 0.852938 3.4746e+11
0.422102 0.214889 0.880712 3.19235e+11
0.429372 0.0853263 0.899088 3.50441e+11
0.452822 0.0716947 0.888714 3.29794e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.46519 0.236844 0.852938 3.4746e+11
0.449441 0.34486 0.82406 3.14088e+11
0.36684 0.366846 0.854899 3.49654e+11
0.338499 0.338505 0.877971 3.1573e+11
0.35471 0.237048 0.904428 3.59415e+11
0.422102 0.214889 0.880712 3.19235e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.36684 0.366846 0.854899 3.49654e+11
0.344916 0.449235 0.824149 3.14093e+11
0.236785 0.465001 0.853058 3.47467e+11
0.21487 0.421992 0.880769 3.19233e+11
0.236988 0.354723 0.904438 3.59413e+11
0.338499 0.338505 0.877971 3.1573e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.236785 0.465001 0.853058 3.47467e+11
0.214088 0.517537 0.828445 3.17617e+11
0.0832943 0.525465 0.846728 3.40925e+11
0.0718245 0.453048 0.888588 3.29809e+11
0.0856571 0.429251 0.899114 3.50448e+11
0.21487 0.421992 0.880769 3.19233e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0832943 0.525465 0.846728 3.40925e+11
0.0722709 0.542164 0.837159 3.24762e+11
-0.071345 0.5422 0.837215 3.24786e+11
-0.0828981 0.524698 0.847242 3.40967e+11
-0.0715512 0.453057 0.888606 3.29817e+11
0.0718245 0.453048 0.888588 3.29809e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0828981 0.524698 0.847242 3.40967e+11
-0.214265 0.516744 0.828894 3.17672e+11
-0.23664 0.464923 0.85314 3.47507e+11
-0.214831 0.422121 0.880717 3.19267e+11
-0.0853126 0.429386 0.899083 3.50474e+11
-0.0715512 0.453057 0.888606 3.29817e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.23664 0.464923 0.85314 3.47507e+11
-0.343859 0.449325 0.824541 3.1416e+11
-0.366005 0.366064 0.855592 3.49735e+11
-0.338774 0.338833 0.877738 3.15781e+11
-0.236869 0.355117 0.904315 3.59466e+11
-0.214831 0.422121 0.880717 3.19267e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.366005 0.366064 0.855592 3.49735e+11
-0.450334 0.343611 0.824094 3.14137e+11
-0.46584 0.237051 0.852526 3.47478e+11
-0.422347 0.21489 0.880594 3.19274e+11
-0.355047 0.237028 0.904301 3.59474e+11
-0.338774 0.338833 0.877738 3.15781e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.46584 0.237051 0.852526 3.47478e+11
-0.517928 0.214533 0.828086 3.17614e+11
-0.525908 0.0829739 0.846485 3.40931e+11
-0.453289 0.0714723 0.888493 3.29813e+11
-0.429619 0.0852358 0.898978 3.50484e+11
-0.422347 0.21489 0.880594 3.19274e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.525908 0.0829739 0.846485 3.40931e+11
-0.543244 0.0715195 0.836523 3.24712e+11
-0.543244 -0.0715195 0.836523 3.24712e+11
-0.525521 -0.0832268 0.8467 3.40917e+11
-0.453279 -0.0717848 0.888473 3.29804e+11
-0.453289 0.0714723 0.888493 3.29813e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.525521 -0.0832268 0.8467 3.40917e+11
-0.517563 -0.214382 0.828353 3.17603e+11
-0.465171 -0.237017 0.8529 3.47445e+11
-0.422199 -0.215121 0.880609 3.19232e+11
-0.42948 -0.085621 0.899008 3.50454e+11
-0.453279 -0.0717848 0.888473 3.29804e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.465171 -0.237017 0.8529 3.47445e+11
-0.449441 -0.344868 0.824057 3.1407e+11
-0.368012 -0.366568 0.854514 3.49669e+11
-0.339176 -0.337731 0.878008 3.15762e+11
-0.35523 -0.237148 0.904197 3.59421e+11
-0.422199 -0.215121 0.880609 3.19232e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.368012 -0.366568 0.854514 3.49669e+11
-0.346309 -0.448253 0.824099 3.14167e+11
-0.235953 -0.464362 0.853636 3.4757e+11
-0.214373 -0.42201 0.880881 3.19285e+11
-0.236692 -0.354115 0.904754 3.59471e+11
-0.339176 -0.337731 0.878008 3.15762e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.235953 -0.464362 0.853636 3.4757e+11
-0.212991 -0.517518 0.82874 3.17692e+11
-0.0827543 -0.525354 0.84685 3.40956e+11
-0.0712867 -0.45295 0.888681 3.29808e+11
-0.0850686 -0.429243 0.899174 3.50473e+11
-0.214373 -0.42201 0.880881 3.19285e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0827543 -0.525354 0.84685 3.40956e+11
-0.071104 -0.542991 0.836723 3.24737e+11
0.0714296 -0.542978 0.836703 3.24729e+11
0.0830734 -0.525349 0.846822 3.40931e+11
0.0716049 -0.45294 0.888661 3.29799e+11
-0.0712867 -0.45295 0.888681 3.29808e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0830734 -0.525349 0.846822 3.40931e+11
0.214213 -0.517403 0.828497 3.17627e+11
0.236952 -0.464753 0.853146 3.47463e+11
0.215161 -0.421986 0.880701 3.19234e+11
0.0853596 -0.429278 0.89913 3.50449e+11
0.0716049 -0.45294 0.888661 3.29799e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.236952 -0.464753 0.853146 3.47463e+11
0.344989 -0.448993 0.824249 3.14081e+11
0.366845 -0.366845 0.854897 3.49633e+11
0.341192 -0.341192 0.875886 3.15825e+11
0.236244 -0.357996 0.903343 3.59506e+11
0.215161 -0.421986 0.880701 3.19234e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.366845 -0.366845 0.854897 3.49633e+11
0.449433 -0.344862 0.824063 3.1407e+11
0.465163 -0.237013 0.852906 3.47445e+11
0.422042 -0.215041 0.880703 3.19226e+11
0.35801 -0.236139 0.903364 3.59503e+11
0.341192 -0.341192 0.875886 3.15825e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.465163 -0.237013 0.852906 3.47445e+11
0.517554 -0.214378 0.82836 3.17602e+11
0.525512 -0.0832329 0.846705 3.40916e+11
0.452821 -0.0717199 0.888712 3.29793e+11
0.429323 -0.0853788 0.899106 3.50437e+11
0.422042 -0.215041 0.880703 3.19226e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.614283 -0.080872 0.78493 3.31808e+11
0.6276 -0.0708394 0.775306 3.17795e+11
0.627621 0.0703788 0.775332 3.17807e+11
0.613789 0.0807981 0.785325 3.31822e+11
0.543245 0.0715108 0.836523 3.24712e+11
0.543244 -0.0715195 0.836523 3.24712e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.613789 0.0807981 0.785325 3.31822e+11
0.604977 0.211715 0.76758 3.12995e+11
0.564361 0.233575 0.791795 3.36431e+11
0.517591 0.214203 0.828382 3.17609e+11
0.525533 0.0832109 0.846694 3.40918e+11
0.543245 0.0715108 0.836523 3.24712e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.564361 0.233575 0.791795 3.36431e+11
0.547883 0.344532 0.762314 3.1012e+11
0.481505 0.369464 0.794764 3.38745e+11
0.449441 0.34486 0.82406 3.14088e+11
0.46519 0.236844 0.852938 3.4746e+11
0.517591 0.214203 0.828382 3.17609e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.481505 0.369464 0.794764 3.38745e+11
0.459113 0.459426 0.760357 3.09153e+11
0.369795 0.481658 0.794517 3.38742e+11
0.344916 0.449235 0.824149 3.14093e+11
0.36684 0.366846 0.854899 3.49654e+11
0.449441 0.34486 0.82406 3.14088e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.369795 0.481658 0.794517 3.38742e+11
0.344724 0.548367 0.761879 3.1011e+11
0.233693 0.564869 0.791398 3.36429e+11
0.214088 0.517537 0.828445 3.17617e+11
0.236785 0.465001 0.853058 3.47467e+11
0.344916 0.449235 0.824149 3.14093e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.233693 0.564869 0.791398 3.36429e+11
0.212278 0.604658 0.767676 3.13001e+11
0.0816636 0.613508 0.785455 3.31862e+11
0.0722709 0.542164 0.837159 3.24762e+11
0.0832943 0.525465 0.846728 3.40925e+11
0.214088 0.517537 0.828445 3.17617e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0816636 0.613508 0.785455 3.31862e+11
0.0728768 0.625201 0.777054 3.17978e+11
-0.0719996 0.62524 0.777104 3.18e+11
-0.080746 0.613608 0.785471 3.31929e+11
-0.071345 0.5422 0.837215 3.24786e+11
0.0722709 0.542164 0.837159 3.24762e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.080746 0.613608 0.785471 3.31929e+11
-0.21262 0.604696 0.767552 3.13077e+11
-0.234135 0.564714 0.791378 3.36494e+11
-0.214265 0.516744 0.828894 3.17672e+11
-0.0828981 0.524698 0.847242 3.40967e+11
-0.071345 0.5422 0.837215 3.24786e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.234135 0.564714 0.791378 3.36494e+11
-0.34489 0.548232 0.761901 3.10153e+11
-0.369517 0.482763 0.793975 3.38816e+11
-0.343859 0.449325 0.824541 3.1416e+11
-0.23664 0.464923 0.85314 3.47507e+11
-0.214265 0.516744 0.828894 3.17672e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.369517 0.482763 0.793975 3.38816e+11
-0.460546 0.460069 0.759101 3.09207e+11
-0.483247 0.368867 0.793983 3.38778e+11
-0.450334 0.343611 0.824094 3.14137e+11
-0.366005 0.366064 0.855592 3.49735e+11
-0.343859 0.449325 0.824541 3.1416e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.483247 0.368867 0.793983 3.38778e+11
-0.548164 0.344435 0.762155 3.10094e+11
-0.564593 0.233862 0.791545 3.36409e+11
-0.517928 0.214533 0.828086 3.17614e+11
-0.46584 0.237051 0.852526 3.47478e+11
-0.450334 0.343611 0.824094 3.14137e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.564593 0.233862 0.791545 3.36409e+11
-0.605457 0.211858 0.767162 3.12966e+11
-0.614283 0.080872 0.78493 3.31808e+11
-0.543244 0.0715195 0.836523 3.24712e+11
-0.525908 0.0829739 0.846485 3.40931e+11
-0.517928 0.214533 0.828086 3.17614e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.614283 0.080872 0.78493 3.31808e+11
-0.627744 0.0707298 0.7752 3.1779e+11
-0.627744 -0.0707298 0.7752 3.1779e+11
-0.614283 -0.080872 0.78493 3.31808e+11
-0.543244 -0.0715195 0.836523 3.24712e+11
-0.543244 0.0715195 0.836523 3.24712e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.614283 -0.080872 0.78493 3.31808e+11
-0.605457 -0.211858 0.767162 3.12966e+11
-0.564593 -0.233862 0.791545 3.36409e+11
-0.517563 -0.214382 0.828353 3.17603e+11
-0.525521 -0.0832268 0.8467 3.40917e+11
-0.543244 -0.0715195 0.836523 3.24712e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.564593 -0.233862 0.791545 3.36409e+11
-0.548164 -0.344435 0.762155 3.10094e+11
-0.481512 -0.369477 0.794753 3.38725e+11
-0.449441 -0.344868 0.824057 3.1407e+11
-0.465171 -0.237017 0.8529 3.47445e+11
-0.517563 -0.214382 0.828353 3.17603e+11
